segment,brand,n_events,median_rate,total_own_lift,total_peer_net_change,aggregate_cannibalization_rate
SFW,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",388,-1.3198164839839759,503498.9435665696,1220723.374971123,-2.424480508983881
SUW,PRIVATE LABEL,984,-3.9866118221020077,435800.0187492412,5567415.016108818,-12.775160111482927
SFW,HINT (HINT INC),895,-0.23802320896361803,215078.80854960356,155875.60983129864,-0.7247371830002912
SUW,ARROWHEAD (PRIMO BRANDS CORPORATION),143,-0.0,139083.11179056775,14595.501050730127,-0.10494085775639049
SUW,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",95,-0.0006673126257122805,126492.80555099687,38102.95584388094,-0.30122626878189795
SUW,"CORE HYDRATION (CORE NUTRITION, LLC)",105,-0.0,109647.12810608507,11445.243965884092,-0.10438252386155217
SUW,CRYSTAL GEYSER (CG ROXANE LLC),124,-0.017324192703393932,105661.04276222967,-38292.119641371915,0.3624052786185457
SUW,DASANI (COCA-COLA COMPANY),49,-0.0,89244.88719243357,-5708.642914964219,0.06396604998396159
SUW,PURE LIFE (PRIMO BRANDS CORPORATION),138,-0.03329059851218264,84228.84101602178,75425.16544460642,-0.895479084536605
SFW,PROPEL (THE GATORADE COMPANY),474,-0.22334391738650555,80503.56160958689,102712.76161319336,-1.2758784774183414
SFW,ROAR (ROAR BEVERAGES LLC.),145,-0.47557036796094254,47536.81457390327,33750.37055435743,-0.7099838484525989
SFW,LEMON PERFECT. (THE LEMON PERFECT COMPANY),167,-0.0,46426.5702444362,22478.2885560091,-0.48416862235699865
SUW,SARATOGA (PRIMO BRANDS CORPORATION),77,-0.0,45065.518630131344,11398.787429520286,-0.2529381171239627
SUW,FIJI (NATURAL WATERS OF VITI LIMITED),88,0.0023746351776570704,28566.85189851464,-276.700513430957,0.009686069519103864
SUW,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),5,-0.01956881872281018,26786.262057224965,731.5454581518467,-0.027310471934792763
SUW,"ESSENTIA (NESTLE USA, INC)",48,-0.0,16446.598719648704,-1783.4800729255662,0.10844066322326255
SFW,SPLASH (PRIMO BRANDS CORPORATION),174,-0.009145722499510055,16275.19888216337,7167.677432781977,-0.44040490593557763
SUW,EVIAN (EVIAN WATERS OF FRANCE INC),78,-0.0,11995.1352469601,-780.7172201098447,0.06508615401462021
SUW,"ACQUA PANNA (NESTLE USA, INC)",38,0.002424122527079616,11938.351109267198,1398.4998222128543,-0.1171434655768553
