sub_group,week_ending,group_units,group_baseline,promo_intensity,segment,brand,base_size,pack_type,avg_discount_depth,group_lift_pct,month,quarter,is_holiday_week,base_size_numeric,base_size_bucket,brand_grp,discount_depth_bucket
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-03-08,5.832536959275727,3.251614199002383,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,0.7937358500480124,3,Q1,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-03-15,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,3,Q1,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-03-22,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,3,Q1,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-03-29,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,3,Q1,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-04-05,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,4,Q2,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-04-12,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,4,Q2,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-04-19,2.9273256272448465,3.3790497096948067,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,-0.13368376356048328,4,Q2,1,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-04-26,0.0,0.0,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,,4,Q2,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-05-03,8.781998562416122,3.3526426287814886,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,1.6194257887867765,5,Q2,0,30.43,medium,Other,none (no promo that week)
SFW|13E LIGHT (DOS AMIGOS INC)|30.43 FLUID OUNCE|SINGLE PACK,2025-05-10,2.9383827748518296,3.4832385802199943,0.0,SFW,13E LIGHT (DOS AMIGOS INC),30.43 FLUID OUNCE,SINGLE PACK,0.0,-0.15642218952850273,5,Q2,0,30.43,medium,Other,none (no promo that week)
